"Date","Price","Open","High","Low","Change %"
"Jun 08, 2020","7.6578","7.6427","7.6894","7.6248","0.30%"
"Jun 05, 2020","7.6348","7.6593","7.7002","7.6185","-0.25%"
"Jun 04, 2020","7.6538","7.5762","7.6848","7.5325","1.08%"
"Jun 03, 2020","7.5723","7.5015","7.6016","7.4765","1.00%"
"Jun 02, 2020","7.4972","7.5876","7.6164","7.4676","-1.12%"
"Jun 01, 2020","7.5821","7.5684","7.6055","7.5578","0.20%"
"May 29, 2020","7.5668","7.5479","7.6200","7.5421","0.32%"
"May 28, 2020","7.5425","7.4543","7.5633","7.4461","1.26%"
"May 27, 2020","7.4489","7.3888","7.4767","7.3748","0.89%"
"May 26, 2020","7.3835","7.4226","7.4489","7.3485","-0.49%"
"May 25, 2020","7.4200","7.4297","7.4413","7.3994","-0.04%"
"May 22, 2020","7.4230","7.4364","7.4530","7.3877","-0.02%"
"May 21, 2020","7.4244","7.4556","7.4897","7.4274","-0.35%"
"May 20, 2020","7.4503","7.4030","7.4735","7.3924","0.72%"
"May 19, 2020","7.3973","7.5136","7.5274","7.3965","-1.50%"
"May 18, 2020","7.5100","7.4644","7.5226","7.3833","0.65%"
"May 15, 2020","7.4615","7.4792","7.5084","7.4490","-0.17%"
"May 14, 2020","7.4742","7.5457","7.5585","7.4440","-0.87%"
"May 13, 2020","7.5396","7.5904","7.6033","7.5345","-0.64%"
"May 12, 2020","7.5885","7.6473","7.6507","7.5599","-0.73%"
"May 11, 2020","7.6444","7.6832","7.7126","7.6350","-0.42%"
"May 08, 2020","7.6769","7.7133","7.7838","7.6475","-0.42%"
"May 07, 2020","7.7093","7.7674","7.8467","7.6107","-0.75%"
"May 06, 2020","7.7675","7.6688","7.7909","7.6556","1.36%"
"May 05, 2020","7.6632","7.6838","7.7141","7.6421","-0.22%"
"May 04, 2020","7.6800","7.6996","7.7158","7.6474","-0.18%"
"May 01, 2020","7.6941","7.6543","7.7559","7.6361","0.58%"
"Apr 30, 2020","7.6498","7.5600","7.6723","7.5387","1.26%"
"Apr 29, 2020","7.5546","7.5597","7.6050","7.5360","-0.01%"
"Apr 28, 2020","7.5553","7.5656","7.6238","7.5542","-0.07%"
"Apr 27, 2020","7.5608","7.5430","7.5920","7.5156","0.22%"
"Apr 24, 2020","7.5441","7.4866","7.5616","7.4683","0.84%"
"Apr 23, 2020","7.4809","7.5534","7.5662","7.4706","-0.92%"
"Apr 22, 2020","7.5507","7.5795","7.6181","7.5440","-0.35%"
"Apr 21, 2020","7.5772","7.5384","7.6073","7.5180","0.57%"
"Apr 20, 2020","7.5341","7.5380","7.5715","7.4637","0.00%"
"Apr 17, 2020","7.5341","7.5205","7.5618","7.4008","0.23%"
"Apr 16, 2020","7.5170","7.5411","7.5610","7.4977","-0.23%"
"Apr 15, 2020","7.5343","7.4841","7.5777","7.4725","0.70%"
"Apr 14, 2020","7.4820","7.3917","7.4960","7.3826","1.31%"
"Apr 13, 2020","7.3854","7.3278","7.4475","7.3266","0.87%"
"Apr 10, 2020","7.3215","7.2954","7.3639","7.2750","0.42%"
"Apr 09, 2020","7.2912","7.3549","7.3734","7.2347","-0.79%"
"Apr 08, 2020","7.3490","7.3552","7.3898","7.3259","0.01%"
"Apr 07, 2020","7.3484","7.3193","7.3946","7.2733","0.46%"
"Apr 06, 2020","7.3147","7.2715","7.3386","7.2548","0.58%"
"Apr 03, 2020","7.2727","7.1829","7.3008","7.1746","1.28%"
"Apr 02, 2020","7.1808","7.3484","7.3664","7.1452","-2.22%"
"Apr 01, 2020","7.3441","7.2962","7.3630","7.2547","0.72%"
"Mar 31, 2020","7.2913","7.2663","7.3099","7.1746","0.40%"
"Mar 30, 2020","7.2622","7.1886","7.2839","7.1611","1.02%"
"Mar 27, 2020","7.1886","7.0572","7.1996","7.0485","1.94%"
"Mar 26, 2020","7.0515","6.9830","7.1062","6.9736","1.05%"
"Mar 25, 2020","6.9783","6.9268","7.0167","6.9011","0.79%"
"Mar 24, 2020","6.9234","7.0348","7.0944","6.8888","-1.53%"
"Mar 23, 2020","7.0308","7.0083","7.1390","6.9731","0.37%"
"Mar 20, 2020","7.0051","6.9967","7.0371","6.9482","0.21%"
"Mar 19, 2020","6.9903","7.0792","7.1307","6.9669","-1.19%"
"Mar 18, 2020","7.0747","7.0314","7.1327","6.9988","0.63%"
"Mar 17, 2020","7.0304","7.1920","7.2020","6.9991","-2.17%"
"Mar 16, 2020","7.1866","7.0234","7.2051","6.9883","2.23%"
"Mar 13, 2020","7.0296","7.0643","7.0890","6.9671","-0.43%"
"Mar 12, 2020","7.0601","6.9970","7.0928","6.9651","0.98%"
"Mar 11, 2020","6.9918","6.9460","7.0373","6.9375","0.80%"
"Mar 10, 2020","6.9365","7.0330","7.0638","6.9154","-1.34%"
"Mar 09, 2020","7.0310","6.8790","7.0918","6.8726","2.31%"
"Mar 06, 2020","6.8725","6.8682","6.9307","6.8261","0.22%"
"Mar 05, 2020","6.8574","6.7677","6.8850","6.7457","1.39%"
"Mar 04, 2020","6.7635","6.8228","6.8580","6.7519","-0.80%"
"Mar 03, 2020","6.8178","6.8741","6.9264","6.7470","-0.76%"
"Mar 02, 2020","6.8699","6.8689","6.9586","6.8451","-0.12%"
"Feb 28, 2020","6.8782","6.8292","6.9138","6.8125","0.78%"
"Feb 27, 2020","6.8249","6.6983","6.8337","6.6915","1.93%"
"Feb 26, 2020","6.6960","6.6853","6.7218","6.6722","0.24%"
"Feb 25, 2020","6.6798","6.6397","6.7002","6.5846","0.66%"
"Feb 24, 2020","6.6360","6.6114","6.6756","6.5949","0.45%"
"Feb 21, 2020","6.6062","6.5792","6.6391","6.5702","0.50%"
