"Date","Price","Open","High","Low","Change %"
"Dec 01, 2020","10.4970","10.4363","10.6125","10.4213","0.66%"
"Nov 30, 2020","10.4282","10.4318","10.4931","10.3237","-0.01%"
"Nov 27, 2020","10.4291","10.5130","10.5556","10.3734","-0.76%"
"Nov 26, 2020","10.5092","10.6150","10.6810","10.4761","-0.96%"
"Nov 25, 2020","10.6115","10.6925","10.7112","10.5667","-0.70%"
"Nov 24, 2020","10.6864","10.5068","10.7676","10.4426","1.78%"
"Nov 23, 2020","10.4999","10.1355","10.6552","10.1355","3.58%"
"Nov 20, 2020","10.1372","10.0161","10.2340","9.9722","1.24%"
"Nov 19, 2020","10.0130","10.2274","10.2491","9.9375","-2.05%"
"Nov 18, 2020","10.2224","10.1989","10.3455","10.1736","0.31%"
"Nov 17, 2020","10.1905","10.1596","10.3260","10.1389","0.36%"
"Nov 16, 2020","10.1539","10.0984","10.2470","10.0339","0.53%"
"Nov 13, 2020","10.1007","10.0876","10.2010","9.9763","0.20%"
"Nov 12, 2020","10.0806","10.3126","10.4153","10.0442","-2.21%"
"Nov 11, 2020","10.3079","10.8112","10.8862","10.2795","-4.61%"
"Nov 10, 2020","10.8063","10.6171","11.0473","10.6115","1.82%"
"Nov 09, 2020","10.6132","11.2214","11.2287","10.5059","-5.35%"
"Nov 06, 2020","11.2131","11.0711","11.2810","11.0238","1.31%"
"Nov 05, 2020","11.0676","10.9451","11.0887","10.9100","1.15%"
"Nov 04, 2020","10.9417","10.9751","11.0885","10.8929","-0.27%"
"Nov 03, 2020","10.9708","10.8799","11.1160","10.8667","0.90%"
"Nov 02, 2020","10.8730","10.8057","10.9262","10.7690","0.69%"
"Oct 30, 2020","10.7990","10.7208","10.8761","10.6691","0.80%"
"Oct 29, 2020","10.7132","10.7208","10.8345","10.6650","-0.07%"
"Oct 28, 2020","10.7211","10.6812","10.8000","10.6454","0.42%"
"Oct 27, 2020","10.6762","10.5242","10.6993","10.5204","1.46%"
"Oct 26, 2020","10.5222","10.3809","10.5497","10.3793","1.36%"
"Oct 23, 2020","10.3811","10.3818","10.4625","10.3317","0.06%"
"Oct 22, 2020","10.3747","10.2733","10.4691","10.1826","1.06%"
"Oct 21, 2020","10.2661","10.1876","10.3084","10.1580","0.90%"
"Oct 20, 2020","10.1744","10.2109","10.2509","10.1622","-0.27%"
"Oct 19, 2020","10.2018","10.2472","10.2993","10.1912","-0.39%"
"Oct 16, 2020","10.2417","10.2485","10.2987","10.1946","-0.00%"
"Oct 15, 2020","10.2421","10.2957","10.3361","10.2217","-0.46%"
"Oct 14, 2020","10.2896","10.2406","10.3495","10.2099","0.54%"
"Oct 13, 2020","10.2345","10.3118","10.3299","10.2299","-0.67%"
"Oct 12, 2020","10.3032","10.2394","10.3306","10.2311","0.52%"
"Oct 09, 2020","10.2497","10.2764","10.3105","10.1893","-0.19%"
"Oct 08, 2020","10.2696","10.1863","10.3011","10.1728","0.88%"
"Oct 07, 2020","10.1804","10.0414","10.2053","10.0276","1.39%"
"Oct 06, 2020","10.0406","10.0759","10.1267","10.0321","-0.29%"
"Oct 05, 2020","10.0700","10.0534","10.1014","9.9926","0.18%"
"Oct 02, 2020","10.0523","9.9959","10.0799","9.9201","0.63%"
"Oct 01, 2020","9.9890","9.9710","10.0482","9.8656","0.22%"
"Sep 30, 2020","9.9671","10.0575","10.0758","9.9171","-0.82%"
"Sep 29, 2020","10.0495","10.0132","10.1241","9.9726","0.37%"
"Sep 28, 2020","10.0126","9.7706","10.1040","9.7673","2.55%"
"Sep 25, 2020","9.7636","9.7198","9.7875","9.5648","0.48%"
"Sep 24, 2020","9.7168","9.7984","9.8404","9.6119","-0.76%"
